university,universityLabel,countryLabel,cityLabel,foundingYear
http://www.wikidata.org/entity/Q24144,Харьковская медицинская академия последипломного образования,Украина,,1923-11-11T00:00:00Z
http://www.wikidata.org/entity/Q75419,Nation University,Таиланд,,1988-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43658,Львовский торгово-экономический университет,Австро-Венгрия,,1816-01-01T00:00:00Z
http://www.wikidata.org/entity/Q47927,Университет Мухаммадии в Маланге,Индонезия,,1964-01-01T00:00:00Z
http://www.wikidata.org/entity/Q49041,Университет Аллена,США,,1870-01-01T00:00:00Z
http://www.wikidata.org/entity/Q124882,IT University of Copenhagen,Дания,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q60845,Thunchath Ezhuthachan Malayalam University,Индия,,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q45819,Misrata University,Ливия,,1984-01-01T00:00:00Z
http://www.wikidata.org/entity/Q24399,Университет Сент-Джозефа,США,,1932-01-01T00:00:00Z
http://www.wikidata.org/entity/Q118038,Burgas Free University,Болгария,Бургас,1991-09-18T00:00:00Z
http://www.wikidata.org/entity/Q125623,женский колледж «Kinnaird»,Пакистан,,1913-01-01T00:00:00Z
http://www.wikidata.org/entity/Q134122,Tomás Frías Autonomous University,Боливия,,1892-01-01T00:00:00Z
http://www.wikidata.org/entity/Q116485,University of Louisiana at Lafayette,США,Лафейетт,1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q45817,Sirte University,Ливия,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q65379,Политехнический университет Виргинии,США,,1872-01-01T00:00:00Z
http://www.wikidata.org/entity/Q115220,Университет Хиросимы,Япония,Хигасихиросима,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q85449,Киевский политехнический институт,Украина,,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q94279,Университет Юго-Восточной Аляски,США,,1972-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43658,Львовский торгово-экономический университет,Украина,,1816-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56832,Херсонский национальный технический университет,Украина,,1959-01-01T00:00:00Z
http://www.wikidata.org/entity/Q114892,Университет Нагасаки,Япония,Нагасаки,1949-01-01T00:00:00Z
http://www.wikidata.org/entity/Q24420,Харьковский колледж текстиля и дизайна,Украина,,1935-01-01T00:00:00Z
http://www.wikidata.org/entity/Q56803,Харьковский национальный педагогический университет имени Сковороды,Украина,,1804-01-01T00:00:00Z
http://www.wikidata.org/entity/Q32287,Чартерокский колледж,США,,1973-01-01T00:00:00Z
http://www.wikidata.org/entity/Q27265,Зальцбургский университет,Австрия,Зальцбург,1962-01-01T00:00:00Z
http://www.wikidata.org/entity/Q85300,Одесский национальный университет имени И. И. Мечникова,Украина,Одесса,1865-05-13T00:00:00Z
http://www.wikidata.org/entity/Q15142,Массачусетский университет в Амхерсте,США,Амхерст,1863-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43659,Волынский национальный университет имени Леси Украинки,Украина,,1940-01-01T00:00:00Z
http://www.wikidata.org/entity/Q137360,Омский государственный аграрный университет имени П. А. Столыпина,Россия,,1918-02-24T00:00:00Z
http://www.wikidata.org/entity/Q56828,Черноморский национальный университет имени Петра Могилы,Украина,,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q37765,Nahrain University,Ирак,,1987-01-01T00:00:00Z
http://www.wikidata.org/entity/Q29718,Университет Хайме I,Испания,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q118736,Независимый Московский университет,Россия,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q61563,Бакинская музыкальная академия,Азербайджан,Баку,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q129421,Калифорнийский университет в Дейвисе,США,,1905-01-01T00:00:00Z
http://www.wikidata.org/entity/Q93435,Буковинский государственный медицинский университет,Украина,Черновцы,1944-01-01T00:00:00Z
http://www.wikidata.org/entity/Q49119,Брандейский университет,США,Уолтем,1948-10-20T00:00:00Z
http://www.wikidata.org/entity/Q137355,Воронежский государственный аграрный университет,Россия,,1912-01-01T00:00:00Z
http://www.wikidata.org/entity/Q94810,Universiti Tenaga Nasional,Малайзия,,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23102,Харбинский инженерный университет,Китай,,1953-01-01T00:00:00Z
http://www.wikidata.org/entity/Q23110,Нанкинский университет аэронавтики и космонавтики,Китай,,1952-01-01T00:00:00Z
http://www.wikidata.org/entity/Q42238,University of Kurdistan,Иран,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q49120,Университет Тафтса,США,,1852-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28695,Хельсинкский университет,Финляндия,Главный корпус Хельсинкского университета,1640-03-26T00:00:00Z
http://www.wikidata.org/entity/Q56826,Харьковский национальный автомобильно-дорожный университет,Украина,,1930-01-01T00:00:00Z
http://www.wikidata.org/entity/Q118736,Независимый Московский университет,СССР,,1991-01-01T00:00:00Z
http://www.wikidata.org/entity/Q29716,Автономный университет Нуэво-Леона,Мексика,,1933-01-01T00:00:00Z
http://www.wikidata.org/entity/Q45312,Медицинский университет короля Эдуарда VII,Пакистан,,1860-01-01T00:00:00Z
http://www.wikidata.org/entity/Q133965,Кубанский государственный аграрный университет,Россия,,1922-03-12T00:00:00Z
http://www.wikidata.org/entity/Q49205,Колледж Уэллсли,США,,1870-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16955,Университет Цинхуа,Китай,Пекин,1911-03-30T00:00:00Z
http://www.wikidata.org/entity/Q82267,Университет Циндао,Китай,,1985-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43337,Xavier University – Ateneo de Cagayan,Филиппины,,1933-06-07T00:00:00Z
http://www.wikidata.org/entity/Q49089,Мэрилендский университет Восточного побережья,США,,1886-01-01T00:00:00Z
http://www.wikidata.org/entity/Q31519,Карлов университет,Чехия,Прага,1348-04-15T00:00:00Z
http://www.wikidata.org/entity/Q29131,IAIN Ambon,Индонезия,,1982-08-29T00:00:00Z
http://www.wikidata.org/entity/Q15570,Китайский университет Гонконга,Китай,,1963-01-01T00:00:00Z
http://www.wikidata.org/entity/Q93662,St. Bonaventure University,США,,1858-01-01T00:00:00Z
http://www.wikidata.org/entity/Q135058,Пхеньянский институт музыки и танца,КНДР,,1972-01-01T00:00:00Z
http://www.wikidata.org/entity/Q94192,Национальная металлургическая академия Украины,Украина,,1899-01-01T00:00:00Z
http://www.wikidata.org/entity/Q31867,National University of Costa Rica,Коста-Рика,,1973-01-01T00:00:00Z
http://www.wikidata.org/entity/Q65043,Faculté polytechnique de Mons,Бельгия,Монс,1920-07-07T00:00:00Z
http://www.wikidata.org/entity/Q75639,National University of East Timor,Восточный Тимор,,1965-05-20T00:00:00Z
http://www.wikidata.org/entity/Q127745,Евразийский национальный университет имени Л. Н. Гумилёва,Казахстан,,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q519556,Национальный Юго-западный Объединенный Университет,Китай,,1938-04-02T00:00:00Z
http://www.wikidata.org/entity/Q493506,Dongseo University,Республика Корея,,1992-01-01T00:00:00Z
http://www.wikidata.org/entity/Q556940,Запорожская медицинская академия последипломного образования,Украина,,1926-01-01T00:00:00Z
http://www.wikidata.org/entity/Q541927,Universidad de Especialidades Espíritu Santo,Эквадор,,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q489708,Daegu University,Республика Корея,,1956-01-01T00:00:00Z
http://www.wikidata.org/entity/Q510029,Бирзейтский университет,Государство Палестина,Birzeit,1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q528231,Голдсмитс,Великобритания,Лондон,1891-01-01T00:00:00Z
http://www.wikidata.org/entity/Q572430,Capella University,США,Миннеаполис,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q549311,Universidad Autónoma de Asunción,Парагвай,,1978-01-01T00:00:00Z
http://www.wikidata.org/entity/Q500131,Университет штата Арканзас,США,,1909-01-01T00:00:00Z
http://www.wikidata.org/entity/Q502352,Регентский университет,США,,1978-01-01T00:00:00Z
http://www.wikidata.org/entity/Q483064,University of the Nations,США,,1978-01-01T00:00:00Z
http://www.wikidata.org/entity/Q514030,Mbarara University of Science and Technology,Уганда,,1989-01-01T00:00:00Z
http://www.wikidata.org/entity/Q540231,Reichsuniversität Straßburg,Нацистская Германия,,1941-11-23T00:00:00Z
http://www.wikidata.org/entity/Q557172,Университет Восточной Африки,Уганда,,1963-06-29T00:00:00Z
http://www.wikidata.org/entity/Q495343,University of Arak,Иран,,1971-01-01T00:00:00Z
http://www.wikidata.org/entity/Q542248,Университет Санта-Мария,Венесуэла,,1953-10-13T00:00:00Z
http://www.wikidata.org/entity/Q491082,Университет Аджу,Республика Корея,,1973-01-01T00:00:00Z
http://www.wikidata.org/entity/Q525169,Шанхайский университет транспорта,Китай,Шанхай,1896-12-06T00:00:00Z
http://www.wikidata.org/entity/Q536280,National University of Laos,Лаос,,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q486676,Kangnam University,Республика Корея,,1946-01-01T00:00:00Z
http://www.wikidata.org/entity/Q553064,International Budo University,Япония,,1984-01-01T00:00:00Z
http://www.wikidata.org/entity/Q491597,Корейский национальный открытый университет,Республика Корея,,1972-01-01T00:00:00Z
http://www.wikidata.org/entity/Q493294,Бухарестский технический университет гражданского строительства,Румыния,,1864-01-01T00:00:00Z
http://www.wikidata.org/entity/Q508048,Кремсский университет повышения квалификации,Австрия,,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q491717,University of Ulsan,Республика Корея,,1969-01-01T00:00:00Z
http://www.wikidata.org/entity/Q557172,Университет Восточной Африки,Кения,,1963-06-29T00:00:00Z
http://www.wikidata.org/entity/Q494179,Singapore University of Social Sciences,Сингапур,,1994-01-01T00:00:00Z
http://www.wikidata.org/entity/Q495504,Национальный автономный университет Никарагуа,Никарагуа,,1812-01-01T00:00:00Z
http://www.wikidata.org/entity/Q538452,Университет Бабеша — Бойяи,Румыния,,1776-01-01T00:00:00Z
http://www.wikidata.org/entity/Q491101,Information and Communications University,Республика Корея,,1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q509909,Университет Паленсии,Испания,,1212-01-01T00:00:00Z
http://www.wikidata.org/entity/Q542498,Ave Maria University,США,,1998-01-01T00:00:00Z
http://www.wikidata.org/entity/Q565742,Балтийский университет,Германия,Гамбург,1946-01-01T00:00:00Z
